From Problem,To Problem,Link,Paper,Year,Blow-Up,Sparse Blow Up,Preserves Sparse?,Parsimonious,c-mony,Sparsification,Other Links and Notes,,Exact SETH,Factor of 1
SAT,3SAT,,Karp,1972,x,2,No,Yes,1,,,,Linear SETH,Factor of O(1)
SAT,0/1 IP,,Karp,1972,1,1,Yes,,,,,,Base Spars,n + m
SAT,CLIQUE,,Karp,1972,x,2,No,,,Yes,,,App Spars,(n * poly(1/e) + m)
3SAT,CLIQUE,,Karp - Mod,,3,1,No,,,,Karp reduction assuming 3SAT instead gives a smaller blow up because n is total literals,,,
3SAT,COLOR,,Karp,1972,3,1,No,,,Yes,,,,
COLOR,CLIQUE COVER,,Karp,1972,1,1,No,,,,Reduction takes the complement of the orginal graph so a sparse graph becomes not sparse,,,
COLOR,EXACT COVER,,Karp,1972,3,2,No,,,Yes,Requires constant colors as the reduction has a factor of km,,,
3COLOR,EXACT COVER,,Karp - Mod,,2,1,Yes,,,,Requires constant colors as the reduction has a factor of km,,,
EXACT COVER,STEINER TREE,,Karp,1972,x,1,No,,,Yes,"Number of edges is equal to number of ""literals"" or number of times each element appears in a set",,,
EXACT COVER,HITTING SET,,Karp,1972,1,1,Yes,,,No,,,,
EXACT COVER,SUBSET SUM,,Karp,1972,x,1,No,,,,Produces an almost sparse instance b = O(n^t),,,
EXACT COVER,3DM,,Karp,1972,x,2,No,,,,number of nodes is O(nm) - https://www.cs.cmu.edu/~15455/pdf/110-Karp.pdf,,,
SUBSET SUM,PARTITION,,Karp,1972,1,1,No,,,,,,,
PARTITION,MAX CUT,,Karp,1972,1,1,No,,,,,,,
SUBSET SUM,JOB SEQUENCING,,Karp,1972,1,1,Yes,,,,,,,
CLIQUE,SET PACKING,,Karp,1972,2,1,Yes,,,,,,,
CLIQUE,VERTEX COVER,,Karp,1972,1,1,No,Yes,1,,Reduction takes the complement of the orginal graph so a sparse graph becomes not sparse,,,
VERTEX COVER,FEEDBACK NODE,,Karp,1972,1,1,Yes,,,,,,,
VERTEX COVER,FEEDBACK ARC,,Karp,1972,1,1,Yes,,,,,,,
VERTEX COVER,DIR HAMPATH,,Karp,1972,2,1,No,,,,,,,
DIR HAMPATH,UNDIR HAMPATH,,Karp,1972,1,1,Yes,,,,,,,
VERTEX COVER,SET COVER,,Karp,1972,2,1,Yes,Yes,1,,,,,
3SAT,VERTEX COVER,https://dl.acm.org/doi/10.5555/574848,Computers and Intractability; A Guide to the Theory of NP-Completeness,1990,2,1,Yes,,,,,,,
VERTEX COVER,CLIQUE,https://dl.acm.org/doi/10.5555/574848,Computers and Intractability; A Guide to the Theory of NP-Completeness,1990,1,1,No,,,,Reduction takes the complement of the orginal graph so a sparse graph becomes not sparse,,,
3SAT,3DM,https://dl.acm.org/doi/10.5555/574848,Computers and Intractability; A Guide to the Theory of NP-Completeness,1990,1,1,No,,,,Creates m^2n^2 clauses or a non-sparse instance,,,
3DM,PARTITION,https://dl.acm.org/doi/10.5555/574848,Computers and Intractability; A Guide to the Theory of NP-Completeness,1990,3,1,Yes,,,,https://www.cs.cmu.edu/~15455/pdf/110-Karp.pdf,,,
